start_hour,activeSessions_site1,utilizationRate_site1,kWhDelivered_site1,idleRate_site1,blockedRate_site1,activeSessions_site2,utilizationRate_site2,kWhDelivered_site2,idleRate_site2,blockedRate_site2,activeSessions_total,kWhDelivered_total,utilizationRate_total,idleRate_total,blockedRate_total,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,hour_of_day,week_of_year,day_of_week,month_of_year,is_weekend,date,year
2021-02-23 18:00:00-08:00,4,0.06587606837606838,4.354960564736992,0.5838469023678236,0.027414529914529914,0,0.0,0.0,0.0,0.0,4,4.354960564736992,0.03201453790238837,0.5838469023678236,0.018691588785046728,,,,,,,18,8,1,2,False,2021-02-23,2021
2021-02-23 19:00:00-08:00,2,0.03493589743589744,1.4874095582545628,0.5996941896024465,0.013985042735042735,0,0.0,0.0,0.0,0.0,2,1.4874095582545628,0.016978193146417447,0.5996941896024465,0.01018172377985462,,,,,,,19,8,1,2,False,2021-02-23,2021
2021-02-23 20:00:00-08:00,1,0.014711538461538462,0.9207074664037772,0.9981844589687727,2.6709401709401615e-05,0,0.0,0.0,0.0,0.0,1,0.9207074664037772,0.007149532710280374,0.9981844589687727,0.007136552440290758,,,,,,,20,8,1,2,False,2021-02-23,2021
2021-02-23 21:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,21,8,1,2,False,2021-02-23,2021
2021-02-23 22:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,22,8,1,2,False,2021-02-23,2021
2021-02-23 23:00:00-08:00,1,0.016324786324786324,2.6059977567697485,1.0,0.0,0,0.0,0.0,0.0,0.0,1,2.6059977567697485,0.007933541017653168,1.0,0.007933541017653168,,,,,,,23,8,1,2,False,2021-02-23,2021
2021-02-24 00:00:00-08:00,1,0.019230769230769232,2.716002243230251,0.8847222222222222,0.0022168803418803427,0,0.0,0.0,0.0,0.0,1,2.716002243230251,0.009345794392523364,0.8847222222222222,0.008268431983385255,,,,,,,0,8,2,2,False,2021-02-24,2021
2021-02-24 01:00:00-08:00,1,0.010902777777777779,0.0,0.0,0.010902777777777779,0,0.0,0.0,0.0,0.0,1,0.0,0.005298546209761164,0.0,0.0,,,,,,,1,8,2,2,False,2021-02-24,2021
2021-02-24 02:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2,8,2,2,False,2021-02-24,2021
2021-02-24 03:00:00-08:00,2,0.0026228632478632477,0.8376877289586943,1.0,0.0,0,0.0,0.0,0.0,0.0,2,0.8376877289586943,0.00127466251298027,1.0,0.00127466251298027,,,,,,,3,8,2,2,False,2021-02-24,2021
2021-02-24 04:00:00-08:00,2,0.038461538461538464,12.223324217376332,1.0,0.0,0,0.0,0.0,0.0,0.0,2,12.223324217376332,0.018691588785046728,1.0,0.018691588785046728,,,,,,,4,8,2,2,False,2021-02-24,2021
2021-02-24 05:00:00-08:00,4,0.057174145299145294,14.66443969676304,1.0,0.0,0,0.0,0.0,0.0,0.0,4,14.66443969676304,0.027785565939771547,1.0,0.027785565939771547,,,,,,,5,8,2,2,False,2021-02-24,2021
2021-02-24 06:00:00-08:00,9,0.11681623931623931,16.138754737706655,0.7899213462593744,0.0245405982905983,1,0.0061464646464646465,0.5756724003127442,1.0,0.0,10,16.7144271380194,0.05992990654205607,0.8009963179553822,0.048003634475597086,,,,,,,6,8,2,2,False,2021-02-24,2021
2021-02-24 07:00:00-08:00,11,0.1730128205128205,26.279639468655812,0.8886624675805854,0.0192628205128205,1,0.00033838383838383836,0.029327599687255665,0.9253731343283583,2.5252525252525225e-05,12,26.30896706834307,0.08425493250259605,0.8887382529656448,0.07488058151609554,,,,,,,7,8,2,2,False,2021-02-24,2021
2021-02-24 08:00:00-08:00,19,0.25484508547008544,38.69615114335125,0.8927620684595552,0.02732905982905983,0,0.0,0.0,0.0,0.0,19,38.69615114335125,0.12384994807892004,0.8927620684595552,0.11056853582554517,,,,,,,8,8,2,2,False,2021-02-24,2021
2021-02-24 09:00:00-08:00,22,0.3883653846153846,63.237679365356605,0.8514483783114632,0.057692307692307696,0,0.0,0.0,0.0,0.0,22,63.237679365356605,0.18873831775700936,0.8514483783114632,0.16070093457943926,,,,,,,9,8,2,2,False,2021-02-24,2021
2021-02-24 10:00:00-08:00,22,0.4230769230769231,60.03107606230349,0.7782828282828281,0.09380341880341884,0,0.0,0.0,0.0,0.0,22,60.03107606230349,0.205607476635514,0.7782828282828281,0.16002076843198337,,,,,,,10,8,2,2,False,2021-02-24,2021
2021-02-24 11:00:00-08:00,25,0.4402136752136752,56.8328430143315,0.6970439763129793,0.13336538461538464,0,0.0,0.0,0.0,0.0,25,56.8328430143315,0.21393561786085152,0.6970439763129793,0.14912253374870196,,,,,,,11,8,2,2,False,2021-02-24,2021
2021-02-24 12:00:00-08:00,24,0.4158386752136751,47.03085382227721,0.604239193268675,0.16457264957264947,0,0.0,0.0,0.0,0.0,24,47.03085382227721,0.2020898234683281,0.604239193268675,0.12211059190031154,,,,,,,12,8,2,2,False,2021-02-24,2021
2021-02-24 13:00:00-08:00,21,0.36712072649572647,29.80906957130019,0.4773517642779192,0.191875,2,0.018494949494949495,6.164606548999929,1.0,0.0,23,35.97367612030012,0.18792056074766353,0.5037921173691409,0.09467289719626168,,,,,,,13,8,2,2,False,2021-02-24,2021
